Tunisia	1	0	6842	9223	738	30	-50	1000	50	74	20	60	81	0	0	0	0	1	0	4	30	0	0	0	0	1	0	3	-20
Morocco	1	3	22230	17860	3393	40	-60	1000	100	66	75	60	80	1	0	1	0	3	1	4	50	0	0	0	0	1	0	3	-20
Algeria	1	0	20030	44372	3550	-50	50	900	100	117	80	50	65	0	0	0	0	1	0	4	0	0	0	0	0	1	0	3	0
Libya	1	5	3425	33641	3701	-70	50	1000	300	64	25	30	49	0	0	0	0	0	0	4	-60	4	0	1	0	3	0	3	40
Mali	0	0	7015	1393	174	-70	60	500	100	33	8	50	32	0	0	0	0	1	1	4	0	0	0	0	0	1	0	3	-20
Nigeria	5	0	82396	64135	12186	10	-90	600	100	74	270	50	40	0	0	0	0	1	0	4	10	0	0	0	0	1	0	3	-20
Sudan	1	0	19868	7109	1351	20	-90	600	30	51	50	50	39	0	0	0	0	2	2	4	0	0	0	0	0	1	0	3	-20
Ethiopia	0	0	30569	7578	1061	-60	50	600	100	25	50	20	31	0	1	0	0	0	2	4	-20	4	0	2	0	3	0	3	40
Kenya	0	0	17832	9513	666	20	-100	1000	0	61	11	50	40	1	0	0	0	1	1	4	0	0	0	0	0	1	0	3	-20
Zaire	0	0	30829	5972	119	20	-10	400	200	87	55	60	32	0	0	0	0	1	0	4	0	0	0	0	0	1	0	3	-20
Tanzania	0	0	19868	8865	1684	-50	60	600	100	46	25	50	36	1	0	0	0	1	1	4	0	0	0	0	0	1	0	3	0
Mozambique	0	0	12695	4195	2037	-70	50	900	100	60	20	30	30	0	0	0	0	1	1	4	0	0	0	0	0	1	0	3	30
Zambia	0	0	6222	4385	526	-40	50	900	100	62	16	40	49	0	0	0	0	1	1	4	0	0	0	0	0	1	0	3	-10
Angola	0	0	7000	5554	944	-70	50	1000	300	50	30	30	35	0	1	0	0	0	0	4	-30	3	0	1	0	3	0	3	30
Japan	12	1	117519	1201466	36044	10	-90	5000	0	77	237	90	230	0	0	0	0	4	0	4	110	0	0	0	0	1	0	3	-50
North_Korea	14	0	20586	15548	3692	-60	30	2000	0	70	470	0	190	0	0	0	0	0	0	2	-80	5	0	3	0	5	0	3	110
South_Korea	14	0	41092	72426	23901	50	-30	1500	0	77	630	95	200	2	0	4	0	4	1	4	100	0	0	0	0	0	0	3	-70
Australia	5	1	15011	188278	11297	0	-100	3000	0	59	70	90	250	0	0	0	0	4	0	4	90	0	0	0	0	1	0	3	-60
China	3	7	1055304	287363	91956	-60	100	1000	0	70	4300	50	100	0	0	0	0	2	0	3	20	0	0	0	0	1	0	3	-50
Vietnam	23	0	56430	13875	5500	-70	110	5000	0	70	643	10	90	0	0	0	0	0	0	2	-50	5	0	2	0	4	4	4	100
Turkey	22	0	48105	95496	21964	50	-60	2000	0	46	453	70	180	3	0	2	0	4	2	4	60	0	0	0	0	1	0	3	-50
Syria	1	0	9423	16652	9824	-30	60	700	200	32	230	30	60	0	0	0	0	1	0	3	-20	4	0	2	0	4	0	4	50
Israel	13	1	3916	25160	17870	20	-60	2000	0	59	190	80	210	5	0	0	0	4	5	4	80	0	0	0	0	1	0	2	-60
Taiwan	3	0	18456	48986	20290	60	-100	2000	0	75	504	70	170	2	0	0	0	3	0	4	20	0	0	0	0	1	0	3	-20
Iraq	1	0	14034	41540	12416	-50	60	600	200	69	155	40	80	0	0	0	0	1	0	3	0	4	0	1	0	3	0	3	0
Saudi_Arabia	1	3	19795	184291	57130	70	-70	900	200	77	95	80	46	0	0	0	0	3	0	4	70	0	0	0	0	1	0	3	-40
Iran	15	6	41203	114653	45671	50	-20	700	100	77	385	50	69	0	1	0	0	0	0	2	-70	0	0	0	0	1	0	3	-30
Afghanistan	1	0	15328	4200	504	-80	50	200	150	60	130	20	30	0	4	0	0	0	0	4	-70	5	0	4	0	5	0	4	40
Pakistan	1	0	93106	30838	7710	-10	20	300	100	41	502	60	46	3	0	0	0	3	2	4	50	0	0	0	0	1	0	3	-40
India	9	1	723762	196535	29480	-30	20	500	100	54	1670	50	68	0	0	0	0	1	3	4	-10	3	0	0	0	2	0	3	10
Burma	2	0	36166	6500	1170	30	-70	400	100	25	209	50	50	0	0	0	0	1	1	4	0	0	0	0	0	1	0	4	0
Thailand	21	1	49823	35999	7200	30	-40	500	100	69	227	60	85	3	0	2	0	3	2	4	70	0	0	0	0	1	0	3	-40
Indonesia	10	0	157595	110848	18844	40	-80	800	50	51	260	70	76	1	0	0	0	2	0	4	30	0	0	0	0	1	0	3	-40
Philippines	19	0	51574	39595	4355	30	-70	800	200	61	120	80	72	2	0	0	0	4	2	4	80	0	0	0	0	1	0	3	-40
Guatemala	19	0	7537	7995	480	60	-60	100	20	51	13	70	81	0	0	0	0	3	2	4	70	0	0	0	0	1	0	4	-50
El_Salvador	19	0	4617	3437	275	30	-70	200	50	59	8	70	75	3	0	1	0	3	3	4	80	0	0	0	0	1	0	3	-70
Costa_Rica	19	0	2396	2624	150	20	-80	300	20	62	2	70	72	0	0	0	0	3	2	4	60	0	0	0	0	1	0	4	-20
Mauritania	0	0	1561	798	295	30	-40	100	10	102	3	40	29	0	0	0	0	2	0	4	20	0	0	0	0	1	0	4	0
Guinea	0	0	5278	1711	120	30	-60	150	20	60	7	50	38	0	0	0	0	2	0	4	30	0	0	0	0	1	0	4	0
Ivory_Coast	0	0	8569	8321	250	50	-50	200	10	77	7	50	39	0	0	0	0	2	0	4	30	0	0	0	0	1	0	4	0
Burkina_Faso	0	0	6208	1846	203	40	-30	100	10	56	5	50	34	0	0	0	0	2	0	4	10	0	0	0	0	1	0	4	20
Ghana	0	0	12943	21669	1734	-40	30	200	40	25	20	50	43	0	0	0	0	2	0	4	20	0	0	0	0	1	0	4	0
Niger	0	0	5833	2171	890	-50	40	100	10	23	4	50	40	0	0	0	0	2	0	4	20	0	0	0	0	1	0	4	0
Chad	0	0	4852	873	140	30	-70	200	80	44	11	50	36	0	0	0	0	2	0	4	50	0	0	0	0	1	0	4	-20
Cameroon	0	0	9049	8665	607	40	-40	100	10	54	10	50	39	0	0	0	0	2	0	4	0	0	0	0	0	1	0	4	10
Central_Africa	0	0	2471	743	74	40	-60	100	10	36	3	50	32	0	0	0	0	2	0	4	0	0	0	0	0	1	0	4	20
Congo	0	0	1641	1708	376	-60	40	150	10	40	7	40	39	0	0	0	0	2	0	4	0	0	0	0	0	1	0	4	0
Zimbabwe	0	0	8090	8015	2645	-40	70	150	20	44	15	50	40	0	0	0	0	2	0	4	-30	0	0	0	0	1	0	4	20
Botswana	0	0	975	1038	125	40	-20	100	10	67	10	50	45	0	0	0	0	2	0	4	20	0	0	0	0	1	0	4	-10
Jordan	1	3	3246	4388	1045	40	-50	300	10	108	60	70	65	0	0	0	0	2	0	4	40	0	0	0	0	1	0	4	-40
Lebanon	1	0	3177	3894	467	0	-30	50	40	51	20	50	50	0	0	0	0	2	0	4	20	0	0	0	0	1	0	4	0
Bolivia	19	0	5633	3440	413	50	-60	200	10	46	20	70	90	0	0	0	0	2	0	4	50	0	0	0	0	1	0	4	-20
